                  20                  15                 160
                   0                   1                  17       -0.0027048467
                   0                   1                  18       -0.0061975975
                   0                   1                  19       -0.0047965904
                   0                   1                  20       -0.0029588010
                   0                   1                  21       -0.0007487677
                   0                   1                  22        0.0044432863
                   0                   1                  23        0.0058767600
                   0                   1                  24        0.0055395803
                   0                   1                  25        0.0081680780
                   0                   1                  26        0.0009046063
                   0                   1                  27       -0.0042136403
                   0                   1                  28       -0.0039575519
                   0                   1                  29        0.0000943332
                   0                   1                  30       -0.0063301167
                   0                   1                  31       -0.0052913404
                   0                   1                  32       -0.0069939045
                   0                   1                  33       -0.0104865714
                   0                   1                  34       -0.0062068838
                   0                   1                  35       -0.0060749968
                   0                   1                  36       -0.0071579925
                   0                   1                  37       -0.0098849224
                   0                   1                  38       -0.0120821623
                   0                   1                  39       -0.0132115636
                   0                   1                  40       -0.0057960863
                   0                   1                  41       -0.0046346584
                   0                   1                  42       -0.0065195709
                   0                   1                  43       -0.0068659905
                   0                   1                  44       -0.0045541914
                   0                   1                  45       -0.0002867573
                   0                   1                  46       -0.0001436936
                   0                   1                  47        0.0033433307
                   0                   1                  48        0.0004306136
                   0                   1                  49       -0.0009017535
                   0                   1                  50        0.0046838892
                   0                   1                  51       -0.0009915021
                   0                   1                  52        0.0021507839
                   0                   1                  53        0.0012773241
                   0                   1                  54        0.0067509485
                   0                   1                  55        0.0092439714
                   0                   1                  56        0.0109819322
                   0                   1                  57        0.0084228710
                   0                   1                  58        0.0104735949
                   0                   1                  59        0.0053119474
                   0                   1                  60        0.0065981377
                   0                   1                  61        0.0035421081
                   0                   1                  62       -0.0039829356
                   0                   1                  63       -0.0017592568
                   0                   1                  64       -0.0142054620
                   0                   1                  65       -0.0036514517
                   0                   1                  66       -0.0029052425
                   0                   1                  67        0.0071969772
                   0                   1                  68        0.0024142084
                   0                   1                  69        0.0026231506
                   0                   1                  70       -0.0017348738
                   0                   1                  71        0.0013306649
                   0                   1                  72        0.0050556038
                   0                   1                  73        0.0062015903
                   0                   1                  74        0.0061476160
                   0                   1                  75        0.0105831354
                   0                   1                  76        0.0031146044
                   0                   1                  77       -0.0038470980
                   0                   1                  78       -0.0012930750
                   0                   1                  79        0.0002747473
                   0                   1                  80        0.0001359508
                   0                   1                  81        0.0006786836
                   0                   1                  82        0.0011393394
                   0                   1                  83        0.0043369160
                   0                   1                  84        0.0039614778
                   0                   1                  85        0.0068054018
                   0                   1                  86        0.0083694073
                   0                   1                  87        0.0043045597
                   0                   1                  88        0.0034812301
                   0                   1                  89        0.0016246574
                   0                   1                  90        0.0014178592
                   0                   1                  91        0.0010842877
                   0                   1                  92       -0.0049073801
                   0                   1                  93       -0.0058367283
                   0                   1                  94        0.0033420050
                   0                   1                  95       -0.0050270052
                   0                   1                  96        0.0061968572
                   0                   1                  97        0.0015716063
                   0                   1                  98        0.0035790833
                   0                   1                  99        0.0014858560
                   0                   1                 100       -0.0032413612
                   0                   1                 101       -0.0059684583
                   0                   1                 102       -0.0086058594
                   0                   1                 103       -0.0081747914
                   0                   1                 104        0.0044890636
                   0                   1                 105        0.0054389170
                   0                   1                 106        0.0020555749
                   0                   1                 107        0.0033979749
                   0                   1                 108       -0.0003362776
                   0                   1                 109        0.0019132872
                   0                   1                 110       -0.0062992035
                   0                   1                 111       -0.0125299985
                   0                   1                 112       -0.0082266055
                   0                   1                 113       -0.0213256668
                   0                   1                 114       -0.0203259220
                   0                   1                 115       -0.0161890741
                   0                   1                 116       -0.0090578127
                   0                   1                 117       -0.0053004875
                   0                   1                 118       -0.0062736008
                   0                   1                 119       -0.0100482383
                   0                   1                 120        0.0036811069
                   0                   1                 121        0.0038054101
                   0                   1                 122       -0.0085729378
                   0                   1                 123       -0.0136427864
                   0                   1                 124       -0.0127161740
                   0                   1                 125       -0.0044122823
                   0                   1                 126        0.0046934016
                   0                   1                 127        0.0069563066
                   0                   1                 128       -0.0067224783
                   0                   1                 129       -0.0086827842
                   0                   1                 130       -0.0051977360
                   0                   1                 131        0.0036610043
                   0                   1                 132        0.0130216757
                   0                   1                 133        0.0235248345
                   0                   1                 134        0.0199438375
                   0                   1                 135        0.0209483016
                   0                   1                 136        0.0245698378
                   0                   1                 137        0.0191014487
                   0                   1                 138        0.0279506736
                   0                   1                 139        0.0403261283
                   0                   1                 140        0.0393739075
                   0                   1                 141        0.0396340422
                   0                   1                 142        0.0492775160
                   0                   1                 143        0.0533968796
                   0                   1                 144        0.0670157965
                   0                   1                 145        0.0808353628
                   0                   1                 146        0.0963537043
                   0                   1                 147        0.1117184023
                   0                   1                 148        0.1234602357
                   0                   1                 149        0.1362930480
                   0                   1                 150        0.1621273342
                   0                   1                 151        0.1905426959
                   0                   1                 152        0.2217236407
                   0                   1                 153        0.2617089039
                   0                   1                 154        0.3130861093
