                  20                 160
                   2                  45        0.0000364620
                   2                  46        0.0000325336
                   2                  47        0.0000194558
                   2                  48        0.0000117073
                   2                  49        0.0000159696
                   2                  50        0.0000190178
                   2                  51        0.0000248771
                   2                  52        0.0000273680
                   2                  53        0.0000269052
                   2                  54        0.0000278380
                   2                  55        0.0000298795
                   2                  56        0.0000303678
                   2                  57        0.0000333379
                   2                  58        0.0000296399
                   2                  59        0.0000321586
                   2                  60        0.0000362028
                   2                  61        0.0000381559
                   2                  62        0.0000389886
                   2                  63        0.0000367947
                   2                  64        0.0000377517
                   2                  65        0.0000351183
                   2                  66        0.0000304179
                   2                  67        0.0000349241
                   2                  68        0.0000345031
                   2                  69        0.0000374368
                   2                  70        0.0000412291
                   2                  71        0.0000451048
                   2                  72        0.0000494335
                   2                  73        0.0000465168
                   2                  74        0.0000491263
                   2                  75        0.0000444610
                   2                  76        0.0000403587
                   2                  77        0.0000357684
                   2                  78        0.0000327278
                   2                  79        0.0000328040
                   2                  80        0.0000345505
                   2                  81        0.0000319580
                   2                  82        0.0000340483
                   2                  83        0.0000379791
                   2                  84        0.0000428064
                   2                  85        0.0000495807
                   2                  86        0.0000588547
                   2                  87        0.0000622018
                   2                  88        0.0000674753
                   2                  89        0.0000703711
                   2                  90        0.0000746153
                   2                  91        0.0000743624
                   2                  92        0.0000744139
                   2                  93        0.0000694250
                   2                  94        0.0000663678
                   2                  95        0.0000631171
                   2                  96        0.0000595002
                   2                  97        0.0000579838
                   2                  98        0.0000552038
                   2                  99        0.0000565386
                   2                 100        0.0000543946
                   2                 101        0.0000548999
                   2                 102        0.0000492726
                   2                 103        0.0000445219
                   2                 104        0.0000398794
                   2                 105        0.0000373155
                   2                 106        0.0000357358
                   2                 107        0.0000358147
                   2                 108        0.0000336218
                   2                 109        0.0000322276
                   2                 110        0.0000354763
                   2                 111        0.0000421712
                   2                 112        0.0000471356
                   2                 113        0.0000493524
                   2                 114        0.0000559315
                   2                 115        0.0000593868
                   2                 116        0.0000659225
                   2                 117        0.0000675805
                   2                 118        0.0000729145
                   2                 119        0.0000764367
                   2                 120        0.0000830865
                   2                 121        0.0000883099
                   2                 122        0.0000936130
                   2                 123        0.0000998448
                   2                 124        0.0001031246
                   2                 125        0.0001112152
                   2                 126        0.0001232909
                   2                 127        0.0001441178
                   2                 128        0.0001769747
                   2                 129        0.0002155568
                   2                 130        0.0002413039
                   2                 131        0.0002814473
                   2                 132        0.0003296770
                   2                 133        0.0003840725
                   2                 134        0.0004457439
                   2                 135        0.0005283803
                   2                 136        0.0006131285
                   2                 137        0.0007089876
                   2                 138        0.0008172731
                   2                 139        0.0009454782
                   2                 140        0.0010939366
                   2                 141        0.0012591797
                   2                 142        0.0014654292
                   2                 143        0.0016912308
                   2                 144        0.0019790616
                   2                 145        0.0023630011
                   2                 146        0.0028265786
                   2                 147        0.0034058654
                   2                 148        0.0041196371
                   2                 149        0.0050374256
                   2                 150        0.0061460783
                   2                 151        0.0075351424
                   2                 152        0.0092976503
                   2                 153        0.0115391211
                   2                 154        0.0143874659
                   2                 155        0.0180024276
                   2                 156        0.0227459849
                   2                 157        0.0291720230
                   2                 158        0.0375064746
                   2                 159        0.0484957319
                   3                   0        0.0617635314
                   3                   1        0.0471017021
                   3                   2        0.0361106519
                   3                   3        0.0279309122
                   3                   4        0.0219151406
                   3                   5        0.0172674462
                   3                   6        0.0137736836
                   3                   7        0.0109959267
                   3                   8        0.0087122585
                   3                   9        0.0070114393
                   3                  10        0.0056174681
                   3                  11        0.0045705931
                   3                  12        0.0037522339
                   3                  13        0.0030285539
                   3                  14        0.0025018711
                   3                  15        0.0020107690
                   3                  16        0.0016028996
                   3                  17        0.0012633266
                   3                  18        0.0010187728
                   3                  19        0.0008252003
                   3                  20        0.0006446353
                   3                  21        0.0005242862
                   3                  22        0.0004248284
                   3                  23        0.0003167539
                   3                  24        0.0002617005
                   3                  25        0.0002041183
                   3                  26        0.0001948690
                   3                  27        0.0002110847
                   3                  28        0.0001936902
                   3                  29        0.0001696268
                   3                  30        0.0001185361
                   3                  31        0.0000908613
                   3                  32        0.0000588349
                   3                  33        0.0000306903
                   3                  34       -0.0000052110
                   3                  35       -0.0000171693
                   3                  36       -0.0000166450
                   3                  37       -0.0000057785
                   3                  38        0.0000063473
                   3                  39        0.0000231546
